source_id,true_sigma,noise_std,scenario,model,operator_info,strength,mse,psnr_db,inverse_seconds,tuning_sources
0801,1.2,0.0196078431372549,blur_noise,ridge,nominal,0.05,0.001540811229490518,28.122505650533967,0.02239170299799298,0802;0803;0804
0801,1.2,0.0196078431372549,blur_noise_jpeg,ridge,nominal,0.05,0.0012897479515589462,28.894951532219366,0.016639556000882294,0802;0803;0804
0801,1.6,0.00784313725490196,blur_noise,ridge,nominal,0.05,0.0012811150768180415,28.9241185777882,0.015805701998033328,0802;0803;0804
0801,1.6,0.00784313725490196,blur_noise_jpeg,ridge,nominal,0.05,0.0012738864694367695,28.948692752143025,0.017559337000420783,0802;0803;0804
0801,1.6,0.0196078431372549,blur_noise,ridge,nominal,0.05,0.0017665373353111056,27.52877179430241,0.016351834001397947,0802;0803;0804
0801,1.6,0.0196078431372549,blur_noise_jpeg,ridge,nominal,0.05,0.0014901144815487953,28.2678036461122,0.01653335000082734,0802;0803;0804
0801,2.0,0.00784313725490196,blur_noise,ridge,nominal,0.05,0.0015333853251044288,28.143486973708146,0.016649181001412217,0802;0803;0804
0801,2.0,0.00784313725490196,blur_noise_jpeg,ridge,nominal,0.05,0.001510462476387274,28.20890059202595,0.016246349001448834,0802;0803;0804
0801,2.0,0.0196078431372549,blur_noise,ridge,nominal,0.05,0.0020190319969265627,26.948567984518373,0.01619691599989892,0802;0803;0804
0801,2.0,0.0196078431372549,blur_noise_jpeg,ridge,nominal,0.05,0.001729300427737542,27.62129551101744,0.01823456900092424,0802;0803;0804
0801,1.2,0.00784313725490196,blur_noise,ridge,oracle_blur,0.01,0.0004406070869973286,33.55948521667594,0.10154704500018852,0802;0803;0804
0801,1.2,0.00784313725490196,blur_noise_jpeg,ridge,oracle_blur,0.01,0.0004198489313776106,33.76906947866742,0.02283568599887076,0802;0803;0804
0801,1.2,0.0196078431372549,blur_noise,ridge,oracle_blur,0.01,0.0021806759344786025,26.614088691873352,0.01938749100008863,0802;0803;0804
0801,1.2,0.0196078431372549,blur_noise_jpeg,ridge,oracle_blur,0.01,0.001147684668960411,29.401774197272893,0.019434711000940297,0802;0803;0804
0801,1.6,0.00784313725490196,blur_noise,ridge,oracle_blur,0.01,0.0003837226760861972,34.15982535416971,0.016170017002878012,0802;0803;0804
0801,1.6,0.00784313725490196,blur_noise_jpeg,ridge,oracle_blur,0.01,0.00045378777957112774,33.43147203771239,0.017214651001268066,0802;0803;0804
0801,1.6,0.0196078431372549,blur_noise,ridge,oracle_blur,0.01,0.0013685534973119813,28.637382211743695,0.016228243002842646,0802;0803;0804
0801,1.6,0.0196078431372549,blur_noise_jpeg,ridge,oracle_blur,0.01,0.0011432745202114205,29.41849475380635,0.017587007001566235,0802;0803;0804
0801,2.0,0.00784313725490196,blur_noise,ridge,oracle_blur,0.01,0.00041968775846238277,33.77073698193256,0.016663551999954507,0802;0803;0804
0801,2.0,0.00784313725490196,blur_noise_jpeg,ridge,oracle_blur,0.01,0.0005058925070010619,32.959417530725375,0.01805676699950709,0802;0803;0804
0801,2.0,0.0196078431372549,blur_noise,ridge,oracle_blur,0.01,0.001050408514591343,29.786417665215392,0.017315699999016942,0802;0803;0804
0801,2.0,0.0196078431372549,blur_noise_jpeg,ridge,oracle_blur,0.01,0.0010830631983001838,29.653462009257012,0.018083806997310603,0802;0803;0804
0802,1.2,0.00784313725490196,blur_noise,gradient,nominal,0.05,0.00030475289924747166,35.160521540567856,0.02171336800165591,0801;0803;0804
0802,1.2,0.00784313725490196,blur_noise_jpeg,gradient,nominal,0.05,0.00042477585754293706,33.71840174680439,0.01844837200042093,0801;0803;0804
0802,1.2,0.0196078431372549,blur_noise,gradient,nominal,0.05,0.0005041792667341004,32.97415017699857,0.019233696002629586,0801;0803;0804
0802,1.2,0.0196078431372549,blur_noise_jpeg,gradient,nominal,0.05,0.0005350824860636133,32.71579263808792,0.01632081700154231,0801;0803;0804
0802,1.6,0.00784313725490196,blur_noise,gradient,nominal,0.05,0.000528596443465465,32.768757632408565,0.01670115600063582,0801;0803;0804
0802,1.6,0.00784313725490196,blur_noise_jpeg,gradient,nominal,0.05,0.0006192831276310665,32.0811075218249,0.016278874998533865,0801;0803;0804
0802,1.6,0.0196078431372549,blur_noise,gradient,nominal,0.05,0.0007283093924725009,31.376840892319496,0.01770271699933801,0801;0803;0804
0802,1.6,0.0196078431372549,blur_noise_jpeg,gradient,nominal,0.05,0.0007277680848547125,31.38006993645909,0.016549484000279335,0801;0803;0804
0802,2.0,0.00784313725490196,blur_noise,gradient,nominal,0.05,0.0007583373385610572,31.201375599546118,0.018263982001371915,0801;0803;0804
0802,2.0,0.00784313725490196,blur_noise_jpeg,gradient,nominal,0.05,0.0008242567869054668,30.839374682024516,0.019647563000035007,0801;0803;0804
0802,2.0,0.0196078431372549,blur_noise,gradient,nominal,0.05,0.0009581017095757137,30.18588384905987,0.018821841000317363,0801;0803;0804
0802,2.0,0.0196078431372549,blur_noise_jpeg,gradient,nominal,0.05,0.000935255674985869,30.29069647890441,0.023452080000424758,0801;0803;0804
0802,1.2,0.00784313725490196,blur_noise,gradient,oracle_blur,0.05,0.000281838636402436,35.49999471034344,0.022750651001842925,0801;0803;0804
0802,1.2,0.00784313725490196,blur_noise_jpeg,gradient,oracle_blur,0.05,0.000405102306075967,33.92435284554707,0.01755732300080126,0801;0803;0804
0802,1.2,0.0196078431372549,blur_noise,gradient,oracle_blur,0.05,0.0004606743594932417,33.36605959313387,0.02057348300149897,0801;0803;0804
0802,1.2,0.0196078431372549,blur_noise_jpeg,gradient,oracle_blur,0.05,0.0005218036116632015,32.82492919256552,0.017675466999207856,0801;0803;0804
0802,1.6,0.00784313725490196,blur_noise,gradient,oracle_blur,0.05,0.0004208609813459688,33.75861336479676,0.019180647999746725,0801;0803;0804
