source_id,true_sigma,noise_std,scenario,model,operator_info,strength,mse,psnr_db,inverse_seconds
0801,1.6,0.00784313725490196,blur_noise,gradient,oracle_blur,0.0005,0.0016609489776124237,27.796437083563838,0.016515404000529088
0801,1.6,0.00784313725490196,blur_noise,gradient,oracle_blur,0.002,0.0005848548799725406,32.32951882030071,0.016380144999857293
0801,1.6,0.00784313725490196,blur_noise,gradient,oracle_blur,0.01,0.00029229699270451386,35.341756528552004,0.01788560600107303
0801,1.6,0.00784313725490196,blur_noise,gradient,oracle_blur,0.05,0.0002882526822929542,35.40226642751012,0.016300637998938328
0801,1.6,0.00784313725490196,blur_noise,gradient,oracle_blur,0.2,0.0003855002380211304,34.13975349464564,0.01620693099903292
0801,1.6,0.00784313725490196,blur_noise_jpeg,ridge,nominal,1e-05,0.02172190691902695,16.631020516403545,0.018054714000754757
0801,1.6,0.00784313725490196,blur_noise_jpeg,ridge,nominal,0.0001,0.006954288162667063,21.57747317555074,0.01748309499816969
0801,1.6,0.00784313725490196,blur_noise_jpeg,ridge,nominal,0.0005,0.0022733142407497446,26.43340527499482,0.017254629001399735
0801,1.6,0.00784313725490196,blur_noise_jpeg,ridge,nominal,0.002,0.0009777305372066782,30.097808203953875,0.017790406000131043
0801,1.6,0.00784313725490196,blur_noise_jpeg,ridge,nominal,0.01,0.000593553292828188,32.26540281356169,0.01738087500052643
0801,1.6,0.00784313725490196,blur_noise_jpeg,ridge,nominal,0.05,0.0012738864694367695,28.948692752143025,0.017559337000420783
0801,1.6,0.00784313725490196,blur_noise_jpeg,ridge,nominal,0.2,0.010303479170974454,19.87016102516155,0.017764817999704974
0801,1.6,0.00784313725490196,blur_noise_jpeg,gradient,nominal,1e-05,0.010789817379356423,19.669859058091156,0.016758780999225564
0801,1.6,0.00784313725490196,blur_noise_jpeg,gradient,nominal,0.0001,0.0025525698960339577,25.93022356960447,0.016072143000201322
0801,1.6,0.00784313725490196,blur_noise_jpeg,gradient,nominal,0.0005,0.0009828367572660964,30.075186096407545,0.01673496600051294
0801,1.6,0.00784313725490196,blur_noise_jpeg,gradient,nominal,0.002,0.0006032153820839755,32.195275924217455,0.01725175500178011
0801,1.6,0.00784313725490196,blur_noise_jpeg,gradient,nominal,0.01,0.00046249905816519353,33.3488914732295,0.01729768299992429
0801,1.6,0.00784313725490196,blur_noise_jpeg,gradient,nominal,0.05,0.00043308017122319005,33.634317001895525,0.021532891998504056
0801,1.6,0.00784313725490196,blur_noise_jpeg,gradient,nominal,0.2,0.00048233327213486146,33.166527787039286,0.017325544002233073
0801,1.6,0.00784313725490196,blur_noise_jpeg,ridge,oracle_blur,1e-05,0.04381570899982326,13.583701564181123,0.0162406400013424
0801,1.6,0.00784313725490196,blur_noise_jpeg,ridge,oracle_blur,0.0001,0.008255231733698118,20.83270731092429,0.01689113500106032
0801,1.6,0.00784313725490196,blur_noise_jpeg,ridge,oracle_blur,0.0005,0.00242360584397162,26.155380089723526,0.016460995000670664
0801,1.6,0.00784313725490196,blur_noise_jpeg,ridge,oracle_blur,0.002,0.0009438633182198517,30.25090891761982,0.016720363997592358
0801,1.6,0.00784313725490196,blur_noise_jpeg,ridge,oracle_blur,0.01,0.00045378777957112774,33.43147203771239,0.017214651001268066
0801,1.6,0.00784313725490196,blur_noise_jpeg,ridge,oracle_blur,0.05,0.0011275957218010078,29.47846580549406,0.017047606001142412
0801,1.6,0.00784313725490196,blur_noise_jpeg,ridge,oracle_blur,0.2,0.010207643937477289,19.910744873969918,0.016318304999003885
0801,1.6,0.00784313725490196,blur_noise_jpeg,gradient,oracle_blur,1e-05,0.02010940674924208,16.966007414038017,0.015933588998450432
0801,1.6,0.00784313725490196,blur_noise_jpeg,gradient,oracle_blur,0.0001,0.003888371494618488,24.102322493127616,0.016160112001671223
0801,1.6,0.00784313725490196,blur_noise_jpeg,gradient,oracle_blur,0.0005,0.0013539368263453594,28.684015990258175,0.01637423699867213
0801,1.6,0.00784313725490196,blur_noise_jpeg,gradient,oracle_blur,0.002,0.0006424271525120957,31.921761116631117,0.015977073002432007
0801,1.6,0.00784313725490196,blur_noise_jpeg,gradient,oracle_blur,0.01,0.0003693164764669633,34.326013165595214,0.017292335000092862
0801,1.6,0.00784313725490196,blur_noise_jpeg,gradient,oracle_blur,0.05,0.00033297212602005595,34.77592120915172,0.016056009000749327
0801,1.6,0.00784313725490196,blur_noise_jpeg,gradient,oracle_blur,0.2,0.00041108282809368255,33.86070664352994,0.015852029999223305
0801,1.6,0.0196078431372549,blur_noise,ridge,nominal,1e-05,0.2303541143981924,6.376040263265458,0.015543957000772934
0801,1.6,0.0196078431372549,blur_noise,ridge,nominal,0.0001,0.12570412647927148,9.006504655299349,0.016475906002597185
0801,1.6,0.0196078431372549,blur_noise,ridge,nominal,0.0005,0.045477831328382755,13.422002534076224,0.016434414999821456
0801,1.6,0.0196078431372549,blur_noise,ridge,nominal,0.002,0.014041211310375182,18.525954247760286,0.016612526000244543
0801,1.6,0.0196078431372549,blur_noise,ridge,nominal,0.01,0.0033424685127911163,24.75932675250863,0.018864803001633845
0801,1.6,0.0196078431372549,blur_noise,ridge,nominal,0.05,0.0017665373353111056,27.52877179430241,0.016351834001397947
0801,1.6,0.0196078431372549,blur_noise,ridge,nominal,0.2,0.010414799627756079,19.82349081107206,0.01626383400071063
0801,1.6,0.0196078431372549,blur_noise,gradient,nominal,1e-05,0.1582567389749759,8.006377875517973,0.021340539002267178
0801,1.6,0.0196078431372549,blur_noise,gradient,nominal,0.0001,0.046960261837486,13.282694902472754,0.024385582000832073
0801,1.6,0.0196078431372549,blur_noise,gradient,nominal,0.0005,0.013047165460782934,18.844838299696157,0.01711904999683611
0801,1.6,0.0196078431372549,blur_noise,gradient,nominal,0.002,0.004170414986102975,23.798207274705124,0.01633769299951382
0801,1.6,0.0196078431372549,blur_noise,gradient,nominal,0.01,0.0012750012400298476,28.94489392847392,0.01645336299770861
0801,1.6,0.0196078431372549,blur_noise,gradient,nominal,0.05,0.0006064318610494812,32.17217989575077,0.016439562998129986
