source_id,stage,component,iteration,rho,denoiser_sigma,iterate_change_mse,measurement_residual_mse
0801,jpeg_q75,fbcnn_dpir_rot90,7,0.09221960604190826,0.012386314570903778,1.5185798929451266e-06,3.177602593495976e-06
0801,jpeg_q75,fbcnn_dpir_rot90,8,0.22999997437000275,0.007843137718737125,6.278070827647753e-07,2.2493584310723236e-06
0801,jpeg_q75,fbcnn_dpir_rot180,1,0.0003831736685242504,0.1921568661928177,0.00021842138085048646,0.00019831927784252912
0801,jpeg_q75,fbcnn_dpir_rot180,2,0.0009556531440466642,0.12167562544345856,5.518723628483713e-05,9.582841448718682e-05
0801,jpeg_q75,fbcnn_dpir_rot180,3,0.0023834437597543,0.07704620808362961,2.858617517631501e-05,4.5272936404217035e-05
0801,jpeg_q75,fbcnn_dpir_rot180,4,0.005944420117884874,0.04878642410039902,1.4376043509400915e-05,2.0985176888643764e-05
0801,jpeg_q75,fbcnn_dpir_rot180,5,0.014825660735368729,0.03089204803109169,7.0773876359453425e-06,9.90555781754665e-06
0801,jpeg_q75,fbcnn_dpir_rot180,6,0.03697589039802551,0.019561151042580605,3.4067395517922705e-06,4.910624284093501e-06
0801,jpeg_q75,fbcnn_dpir_rot180,7,0.09221960604190826,0.012386314570903778,1.5707569218648132e-06,2.8606796149688307e-06
0801,jpeg_q75,fbcnn_dpir_rot180,8,0.22999997437000275,0.007843137718737125,5.954804009888903e-07,1.988040366995847e-06
0802,quantized_8bit,dpir_nominal,1,0.0003831736685242504,0.1921568661928177,0.00030911259818822145,0.0002967961481772363
0802,quantized_8bit,dpir_nominal,2,0.0009556531440466642,0.12167562544345856,5.2341289119794965e-05,0.00019909790717065334
0802,quantized_8bit,dpir_nominal,3,0.0023834437597543,0.07704620808362961,3.823681618086994e-05,0.00013320767902769148
0802,quantized_8bit,dpir_nominal,4,0.005944420117884874,0.04878642410039902,2.4428232791251503e-05,9.391811181558296e-05
0802,quantized_8bit,dpir_nominal,5,0.014825660735368729,0.03089204803109169,1.3621614016301464e-05,7.415386062348261e-05
0802,quantized_8bit,dpir_nominal,6,0.03697589039802551,0.019561151042580605,6.617151029786328e-06,6.452580419136211e-05
0802,quantized_8bit,dpir_nominal,7,0.09221960604190826,0.012386314570903778,3.1565887184115127e-06,5.9729936765506864e-05
0802,quantized_8bit,dpir_nominal,8,0.22999997437000275,0.007843137718737125,1.3003838148506475e-06,5.748231342295185e-05
0802,quantized_8bit,dpir_nominal_sigma08,1,0.0003831736685242504,0.1921568661928177,0.00031582830706611276,0.0003090771206188947
0802,quantized_8bit,dpir_nominal_sigma08,2,0.0009556531440466642,0.12167562544345856,5.234638229012489e-05,0.00020718073938041925
0802,quantized_8bit,dpir_nominal_sigma08,3,0.0023834437597543,0.07704620808362961,3.41081504302565e-05,0.0001401089393766597
0802,quantized_8bit,dpir_nominal_sigma08,4,0.005944420117884874,0.04878642410039902,2.1820951587869786e-05,9.873101225821301e-05
0802,quantized_8bit,dpir_nominal_sigma08,5,0.014825660735368729,0.03089204803109169,1.199123198603047e-05,7.698265835642815e-05
0802,quantized_8bit,dpir_nominal_sigma08,6,0.03697589039802551,0.019561151042580605,6.14243617746979e-06,6.589727126993239e-05
0802,quantized_8bit,dpir_nominal_sigma08,7,0.09221960604190826,0.012386314570903778,3.2058499073173152e-06,5.990116551402025e-05
0802,quantized_8bit,dpir_nominal_sigma08,8,0.22999997437000275,0.007843137718737125,1.3897315511712804e-06,5.682194750988856e-05
0802,quantized_8bit,dpir_nominal_sigma12,1,0.0003831736685242504,0.1921568661928177,0.0003150003612972796,0.00028535290039144456
0802,quantized_8bit,dpir_nominal_sigma12,2,0.0009556531440466642,0.12167562544345856,5.676545333699323e-05,0.00018974632257595658
0802,quantized_8bit,dpir_nominal_sigma12,3,0.0023834437597543,0.07704620808362961,4.5049848267808557e-05,0.00012513456749729812
0802,quantized_8bit,dpir_nominal_sigma12,4,0.005944420117884874,0.04878642410039902,2.9982615160406567e-05,8.844548574415967e-05
0802,quantized_8bit,dpir_nominal_sigma12,5,0.014825660735368729,0.03089204803109169,1.4956194718251936e-05,7.156987703638151e-05
0802,quantized_8bit,dpir_nominal_sigma12,6,0.03697589039802551,0.019561151042580605,6.816347195126582e-06,6.362303247442469e-05
0802,quantized_8bit,dpir_nominal_sigma12,7,0.09221960604190826,0.012386314570903778,3.0888365927239647e-06,5.9843416238436475e-05
0802,quantized_8bit,dpir_nominal_sigma12,8,0.22999997437000275,0.007843137718737125,1.24339317153499e-06,5.8173565776087344e-05
0802,quantized_8bit,dpir_nominal_rot90,1,0.0003831736685242504,0.1921568661928177,0.00030817260267212987,0.000295780977467075
0802,quantized_8bit,dpir_nominal_rot90,2,0.0009556531440466642,0.12167562544345856,5.12509468535427e-05,0.00019982278172392398
0802,quantized_8bit,dpir_nominal_rot90,3,0.0023834437597543,0.07704620808362961,3.9324539102381095e-05,0.0001328506477875635
0802,quantized_8bit,dpir_nominal_rot90,4,0.005944420117884874,0.04878642410039902,2.4160772227332927e-05,9.394924563821405e-05
0802,quantized_8bit,dpir_nominal_rot90,5,0.014825660735368729,0.03089204803109169,1.3767232303507626e-05,7.400168396998197e-05
0802,quantized_8bit,dpir_nominal_rot90,6,0.03697589039802551,0.019561151042580605,6.566651791217737e-06,6.449626380344853e-05
0802,quantized_8bit,dpir_nominal_rot90,7,0.09221960604190826,0.012386314570903778,3.1802005651115905e-06,5.9705744206439704e-05
0802,quantized_8bit,dpir_nominal_rot90,8,0.22999997437000275,0.007843137718737125,1.3120099993102485e-06,5.744887312175706e-05
0802,quantized_8bit,dpir_nominal_rot180,1,0.0003831736685242504,0.1921568661928177,0.0003097721200902015,0.0002973806986119598
0802,quantized_8bit,dpir_nominal_rot180,2,0.0009556531440466642,0.12167562544345856,5.312174107530154e-05,0.00019985312246717513
0802,quantized_8bit,dpir_nominal_rot180,3,0.0023834437597543,0.07704620808362961,3.865272447001189e-05,0.00013317287084646523
0802,quantized_8bit,dpir_nominal_rot180,4,0.005944420117884874,0.04878642410039902,2.409577791695483e-05,9.417342516826466e-05
0802,quantized_8bit,dpir_nominal_rot180,5,0.014825660735368729,0.03089204803109169,1.3780879271507729e-05,7.408957026200369e-05
0802,quantized_8bit,dpir_nominal_rot180,6,0.03697589039802551,0.019561151042580605,6.767809281882364e-06,6.441419100156054e-05
0802,quantized_8bit,dpir_nominal_rot180,7,0.09221960604190826,0.012386314570903778,3.1052495614858344e-06,5.974794476060197e-05
0802,quantized_8bit,dpir_nominal_rot180,8,0.22999997437000275,0.007843137718737125,1.305262571804633e-06,5.7483568525640294e-05
0802,quantized_8bit,fbcnn_dpir,1,0.0003831736685242504,0.1921568661928177,0.00026241663726978004,0.0002508999314159155
0802,quantized_8bit,fbcnn_dpir,2,0.0009556531440466642,0.12167562544345856,5.62175118830055e-05,0.00015014084056019783
0802,quantized_8bit,fbcnn_dpir,3,0.0023834437597543,0.07704620808362961,4.025429007015191e-05,8.248923404607922e-05
