source_id,stage,component,elapsed_seconds,denoiser_calls,fbcnn_calls,peak_cuda_memory_mb,input_height,input_width,clipped_fraction,peak_cuda_allocated_mib,process_peak_rss_mib
0803,quantized_8bit,dpir_nominal_sigma12,1.0910922889997892,8,0,,576.0,576.0,7.032857411104487e-06,942.99169921875,1980.71875
0803,quantized_8bit,dpir_nominal_rot90,1.0997711629997866,8,0,,576.0,576.0,2.0093877992621856e-06,942.99169921875,1980.71875
0803,quantized_8bit,dpir_nominal_rot180,1.0968164479995721,8,0,,576.0,576.0,2.0093877992621856e-06,942.99169921875,1980.71875
0803,quantized_8bit,fbcnn_dpir,1.0927573920002942,8,0,,576.0,576.0,0.0005294737056829035,942.99169921875,1980.71875
0803,quantized_8bit,fbcnn_dpir_sigma08,1.0966618349998498,8,0,,576.0,576.0,0.00014769000699743629,942.99169921875,1980.71875
0803,quantized_8bit,fbcnn_dpir_sigma12,1.1027479809999932,8,0,,576.0,576.0,0.0005083751166239381,942.99169921875,1980.71875
0803,quantized_8bit,fbcnn_dpir_rot90,1.1066595360002793,8,0,,576.0,576.0,0.0005485628498718143,942.99169921875,1980.71875
0803,quantized_8bit,fbcnn_dpir_rot180,1.1043681739997737,8,0,,576.0,576.0,0.0005907600279897451,942.99169921875,1980.71875
0803,jpeg_q75,gradient_nominal,0.06416773499995543,0,0,,,,,,
0803,jpeg_q75,fbcnn,0.18428182899970125,0,1,834.951171875,,,,,
0803,jpeg_q75,fbcnn_rot90_intermediate,0.1862509319998935,0,1,834.951171875,,,,,
0803,jpeg_q75,fbcnn_rot180_intermediate,0.18961015600007158,0,1,834.951171875,,,,,
0803,jpeg_q75,fbcnn_gradient_inverse_only,0.055015615000229445,0,0,,,,,,
0803,jpeg_q75,dpir_nominal,1.0960979880001105,8,0,,576.0,576.0,0.0024574813432991505,942.99169921875,1980.71875
0803,jpeg_q75,dpir_nominal_sigma08,1.099819139000374,8,0,,576.0,576.0,0.0005756895989179611,942.99169921875,1980.71875
0803,jpeg_q75,dpir_nominal_sigma12,1.1063289149997217,8,0,,576.0,576.0,0.0035063817631453276,942.99169921875,1980.71875
0803,jpeg_q75,dpir_nominal_rot90,1.1039702460002445,8,0,,576.0,576.0,0.002350983675569296,942.99169921875,1980.71875
0803,jpeg_q75,dpir_nominal_rot180,1.107279268000184,8,0,,576.0,576.0,0.0024122700560837984,942.99169921875,1980.71875
0803,jpeg_q75,fbcnn_dpir,1.1092152179999175,8,0,,576.0,576.0,0.0003596804162953049,942.99169921875,1980.71875
0803,jpeg_q75,fbcnn_dpir_sigma08,1.1031280649999644,8,0,,576.0,576.0,8.539898408344015e-05,942.99169921875,1980.71875
0803,jpeg_q75,fbcnn_dpir_sigma12,1.1091464179999093,8,0,,576.0,576.0,0.0004792389809153974,942.99169921875,1980.71875
0803,jpeg_q75,fbcnn_dpir_rot90,1.109529828000177,8,0,,576.0,576.0,0.0002722720382735133,942.99169921875,1980.71875
0803,jpeg_q75,fbcnn_dpir_rot180,1.114122996000333,8,0,,576.0,576.0,0.00038580247201025486,942.99169921875,1980.71875
0804,quantized_8bit,gradient_nominal,0.0710687539999526,0,0,,,,,,
0804,quantized_8bit,fbcnn,0.18680044200027623,0,1,834.951171875,,,,,
0804,quantized_8bit,fbcnn_rot90_intermediate,0.1901837059999707,0,1,834.951171875,,,,,
0804,quantized_8bit,fbcnn_rot180_intermediate,0.18997211299983974,0,1,834.951171875,,,,,
0804,quantized_8bit,fbcnn_gradient_inverse_only,0.05770466099966143,0,0,,,,,,
0804,quantized_8bit,dpir_nominal,1.1048377699999037,8,0,,576.0,576.0,0.0,942.99169921875,1980.71875
0804,quantized_8bit,dpir_nominal_sigma08,1.1116562459997112,8,0,,576.0,576.0,0.0,942.99169921875,1980.71875
0804,quantized_8bit,dpir_nominal_sigma12,1.1114291970002341,8,0,,576.0,576.0,0.0,942.99169921875,1980.71875
0804,quantized_8bit,dpir_nominal_rot90,1.1081116309997014,8,0,,576.0,576.0,0.0,942.99169921875,1980.71875
0804,quantized_8bit,dpir_nominal_rot180,1.1117639809999673,8,0,,576.0,576.0,0.0,942.99169921875,1980.71875
0804,quantized_8bit,fbcnn_dpir,1.1097436119998747,8,0,,576.0,576.0,4.018775598524371e-06,942.99169921875,1980.71875
0804,quantized_8bit,fbcnn_dpir_sigma08,1.1140712139999778,8,0,,576.0,576.0,2.0093877992621856e-06,942.99169921875,1980.71875
0804,quantized_8bit,fbcnn_dpir_sigma12,1.1139677980004308,8,0,,576.0,576.0,3.215020478819497e-05,942.99169921875,1980.71875
0804,quantized_8bit,fbcnn_dpir_rot90,1.1110192199998892,8,0,,576.0,576.0,4.018775598524371e-06,942.99169921875,1980.71875
0804,quantized_8bit,fbcnn_dpir_rot180,1.1128027780000593,8,0,,576.0,576.0,1.2056327250320464e-05,942.99169921875,1980.71875
0804,jpeg_q75,gradient_nominal,0.06583144700016419,0,0,,,,,,
0804,jpeg_q75,fbcnn,0.18662921700024526,0,1,834.951171875,,,,,
0804,jpeg_q75,fbcnn_rot90_intermediate,0.18915261100028147,0,1,834.951171875,,,,,
0804,jpeg_q75,fbcnn_rot180_intermediate,0.19113054499985083,0,1,834.951171875,,,,,
0804,jpeg_q75,fbcnn_gradient_inverse_only,0.05878538699971614,0,0,,,,,,
0804,jpeg_q75,dpir_nominal,1.1045275579999725,8,0,,576.0,576.0,0.0007816518773324788,942.99169921875,1980.71875
0804,jpeg_q75,dpir_nominal_sigma08,1.111733981999805,8,0,,576.0,576.0,0.0001346289791399613,942.99169921875,1980.71875
0804,jpeg_q75,dpir_nominal_sigma12,1.1066575009999724,8,0,,576.0,576.0,0.0006460181903094053,942.99169921875,1980.71875
0804,jpeg_q75,dpir_nominal_rot90,1.1094812930000444,8,0,,576.0,576.0,0.0007364406483247876,942.99169921875,1980.71875
0804,jpeg_q75,dpir_nominal_rot180,1.1125994969997919,8,0,,576.0,576.0,0.00077461899491027,942.99169921875,1980.71875
0804,jpeg_q75,fbcnn_dpir,1.114059946999987,8,0,,576.0,576.0,2.712673449423164e-05,942.99169921875,1980.71875
0804,jpeg_q75,fbcnn_dpir_sigma08,1.113925836999897,8,0,,576.0,576.0,1.0046938768937252e-05,942.99169921875,1980.71875
0804,jpeg_q75,fbcnn_dpir_sigma12,1.114925982999921,8,0,,576.0,576.0,9.54459173954092e-05,942.99169921875,1980.71875
0804,jpeg_q75,fbcnn_dpir_rot90,1.114423307999914,8,0,,576.0,576.0,6.229102291399613e-05,942.99169921875,1980.71875
0804,jpeg_q75,fbcnn_dpir_rot180,1.114084676999937,8,0,,576.0,576.0,8.439429075224325e-05,942.99169921875,1980.71875
