stage,pipeline,region,score,coverage,rgb_mse,detail_mse,bad_detail_rate_0.025,bad_detail_rate_0.05,bad_detail_rate_0.1
jpeg_q75,fbcnn_dpir,all,oracle_detail_error,0.75,0.00038482708427595576,0.0001560996978245586,0.0673828125,0.0,0.0
jpeg_q75,fbcnn_dpir,all,oracle_detail_error,0.9,0.0005610459149906552,0.00023725822752143584,0.09788503253796095,0.0,0.0
jpeg_q75,fbcnn_dpir,all,oracle_detail_error,1.0,0.0008039785546836287,0.0003495773214535598,0.159423828125,0.0185546875,0.0
jpeg_q75,fbcnn_dpir,all,random_expected,0.5,0.0008039785546836287,0.0003495773214535598,0.159423828125,0.0185546875,0.0
jpeg_q75,fbcnn_dpir,all,random_expected,0.75,0.0008039785546836287,0.0003495773214535598,0.159423828125,0.0185546875,0.0
jpeg_q75,fbcnn_dpir,all,random_expected,0.9,0.0008039785546836287,0.0003495773214535598,0.159423828125,0.0185546875,0.0
jpeg_q75,fbcnn_dpir,all,random_expected,1.0,0.0008039785546836287,0.0003495773214535598,0.159423828125,0.0185546875,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,image_gradient,0.5,0.0017408532693673853,0.0008158437894859099,0.3671875,0.06640625,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,image_gradient,0.75,0.0018115701628119792,0.0008211294609737215,0.38671875,0.06510416666666666,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,image_gradient,0.9,0.0019116097433751953,0.0008476039005223127,0.4134199134199134,0.06818181818181819,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,image_gradient,1.0,0.0020078610383320616,0.0008770115402972401,0.431640625,0.07421875,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,image_transform_spread_detail,0.5,0.001529913215172699,0.0006843339825774351,0.310546875,0.0390625,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,image_transform_spread_detail,0.75,0.0017102434116253046,0.0007623911100130124,0.37109375,0.0546875,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,image_transform_spread_detail,0.9,0.001874293197882476,0.0008273042631122538,0.41233766233766234,0.06493506493506494,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,image_transform_spread_detail,1.0,0.0020078610383320616,0.0008770115402972401,0.431640625,0.07421875,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,measurement_residual,0.5,0.0017394118713644645,0.0007888280232052928,0.396484375,0.05078125,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,measurement_residual,0.75,0.0018354779893383867,0.0008157585505685011,0.40625,0.05859375,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,measurement_residual,0.9,0.0019338126806644708,0.0008559104784614088,0.4264069264069264,0.06818181818181819,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,measurement_residual,1.0,0.0020078610383320616,0.0008770115402972399,0.431640625,0.07421875,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,operator_spread_detail,0.5,0.0014157343869482379,0.0006455165180911387,0.2890625,0.0390625,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,operator_spread_detail,0.75,0.0016101159056599555,0.0007250724169416325,0.3489583333333333,0.046875,0.0
