source_id,stage,stage_index,model,mse,psnr_db,detail_mse,bad_detail_rate_0.025,bad_detail_rate_0.05,bad_detail_rate_0.1
0802,clipped_float,1,dpir_oracle_blur,0.00027466792951942354,35.61192046243215,0.00016719829811282413,0.0361328125,0.0,0.0
0802,quantized_8bit,2,observed,0.0006804863776852653,31.671805642965545,0.00027891518735896853,0.109375,0.0009765625,0.0
0802,quantized_8bit,2,gradient_nominal,0.0005292257287262396,32.76359050402497,0.0002300695448765614,0.078125,0.0009765625,0.0
0802,quantized_8bit,2,drunet_denoise_only,0.000645973191689437,31.897855051363916,0.00023813101566266096,0.09765625,0.0009765625,0.0
0802,quantized_8bit,2,dpir_nominal,0.00048314851500213114,33.15919350963438,0.00021416214155040717,0.068359375,0.0009765625,0.0
0802,quantized_8bit,2,dpir_oracle_blur,0.0002750420504691785,35.60600902931128,0.00016724214427839702,0.0361328125,0.0,0.0
0802,jpeg_q75,3,observed,0.0007101691125158193,31.486382204540732,0.00025955167683207884,0.109375,0.0009765625,0.0
0802,jpeg_q75,3,gradient_nominal,0.0006192831276310665,32.0811075218249,0.0002469058555058093,0.095703125,0.0009765625,0.0
0802,jpeg_q75,3,drunet_denoise_only,0.0006896654817272859,31.613615102304525,0.00024513885388347456,0.1015625,0.0009765625,0.0
0802,jpeg_q75,3,dpir_nominal,0.0006022606056376859,32.20215543460181,0.0002593254942014211,0.0986328125,0.00390625,0.0
0802,jpeg_q75,3,dpir_oracle_blur,0.0006753662457313253,31.704606488515545,0.0003071950656726332,0.1279296875,0.00390625,0.0
0803,linear_float,0,observed,0.0007830532590210386,31.062086985904106,0.0002346359761004098,0.078125,0.0009765625,0.0
0803,linear_float,0,gradient_nominal,0.0005577622239255964,32.53550902935188,0.00018232816993788545,0.060546875,0.0009765625,0.0
0803,linear_float,0,drunet_denoise_only,0.0007395999233156892,31.310031425420352,0.00019112973275771554,0.0693359375,0.0009765625,0.0
0803,linear_float,0,dpir_nominal,0.0004726958967178419,33.254181676157096,0.00015504588878897756,0.0517578125,0.0009765625,0.0
0803,linear_float,0,dpir_oracle_blur,0.00011343577270212483,39.452499662790295,6.331406268614967e-05,0.0009765625,0.0,0.0
0803,clipped_float,1,observed,0.0007830532590210386,31.062086985904106,0.0002346359761004098,0.078125,0.0009765625,0.0
0803,clipped_float,1,gradient_nominal,0.000557739220242052,32.535688148310086,0.0001823143574229616,0.060546875,0.0009765625,0.0
0803,clipped_float,1,drunet_denoise_only,0.0007396085508320869,31.30998076477543,0.0001911285695924928,0.0693359375,0.0009765625,0.0
0803,clipped_float,1,dpir_nominal,0.0004727091147894006,33.25406023538897,0.00015504410515588778,0.0517578125,0.0009765625,0.0
0803,clipped_float,1,dpir_oracle_blur,0.00011342821808330654,39.45278890475025,6.330318875242616e-05,0.0009765625,0.0,0.0
0803,quantized_8bit,2,observed,0.0007842943464565411,31.05520915566955,0.00023563371101404325,0.078125,0.0009765625,0.0
0803,quantized_8bit,2,gradient_nominal,0.0005585449813902833,32.5294184603458,0.00018266476499481378,0.060546875,0.0009765625,0.0
