source_id,stage,stage_index,model,iteration,rho,denoiser_sigma,iterate_change_mse,measurement_residual_mse
0801,quantized_8bit,2,dpir_oracle_blur,3,0.0023834437597543,0.07704620808362961,4.332248863647692e-05,9.327277075499296e-05
0801,quantized_8bit,2,dpir_oracle_blur,4,0.005944420117884874,0.04878642410039902,2.380772275500931e-05,7.4178577051498e-05
0801,quantized_8bit,2,dpir_oracle_blur,5,0.014825660735368729,0.03089204803109169,1.0512379958527163e-05,6.609926640521735e-05
0801,quantized_8bit,2,dpir_oracle_blur,6,0.03697589039802551,0.019561151042580605,4.08138021157356e-06,6.266324635362253e-05
0801,quantized_8bit,2,dpir_oracle_blur,7,0.09221960604190826,0.012386314570903778,1.7150952089650673e-06,6.114340067142621e-05
0801,quantized_8bit,2,dpir_oracle_blur,8,0.22999997437000275,0.007843137718737125,7.779157726872654e-07,6.032752571627498e-05
0801,jpeg_q75,3,dpir_nominal,1,0.0003831736685242504,0.1921568661928177,0.0003931302926503122,0.00023068931477610022
0801,jpeg_q75,3,dpir_nominal,2,0.0009556531440466642,0.12167562544345856,8.528990292688832e-05,0.00012777344090864062
0801,jpeg_q75,3,dpir_nominal,3,0.0023834437597543,0.07704620808362961,3.7434027035487816e-05,7.431523408740759e-05
0801,jpeg_q75,3,dpir_nominal,4,0.005944420117884874,0.04878642410039902,2.0558565665851347e-05,4.5352579036261886e-05
0801,jpeg_q75,3,dpir_nominal,5,0.014825660735368729,0.03089204803109169,1.2793305359082296e-05,2.9479671866283752e-05
0801,jpeg_q75,3,dpir_nominal,6,0.03697589039802551,0.019561151042580605,7.504443601646926e-06,2.0446768758120015e-05
0801,jpeg_q75,3,dpir_nominal,7,0.09221960604190826,0.012386314570903778,3.478138751233928e-06,1.572220935486257e-05
0801,jpeg_q75,3,dpir_nominal,8,0.22999997437000275,0.007843137718737125,1.258464067177556e-06,1.3651745575771201e-05
0801,jpeg_q75,3,dpir_oracle_blur,1,0.0003831736685242504,0.1921568661928177,0.0005375851760618389,0.00018092902610078454
