source_id,model,from_stage,to_stage,to_stage_index,delta_mse,delta_psnr_db,delta_detail_mse
0803,observed,clipped_float,quantized_8bit,2,1.2410874355025473e-06,-0.006877830234554239,9.977349136334524e-07
0803,observed,quantized_8bit,jpeg_q75,3,1.4989809639771867e-05,-0.08222119768983305,-2.186006369032627e-05
0804,dpir_nominal,linear_float,clipped_float,1,-7.33781798365786e-09,1.9303454035224377e-05,-4.492522729369376e-09
0804,dpir_nominal,clipped_float,quantized_8bit,2,-5.064054848596088e-07,0.001332398316463923,-1.8334865870548497e-07
0804,dpir_nominal,quantized_8bit,jpeg_q75,3,0.000421549198643365,-0.9879135275882334,0.0003266219112571955
0804,dpir_oracle_blur,linear_float,clipped_float,1,-2.0216235469190137e-08,0.00011296633041268933,-1.3185136981796325e-08
0804,dpir_oracle_blur,clipped_float,quantized_8bit,2,2.1734793817366257e-07,-0.0012143648482592084,5.0491819377569865e-08
0804,dpir_oracle_blur,quantized_8bit,jpeg_q75,3,0.0010345288834571911,-3.674927125988898,0.0005017382804944114
0804,drunet_denoise_only,linear_float,clipped_float,1,7.622902843673618e-09,-1.5067267618462665e-05,-3.1868190118050643e-10
0804,drunet_denoise_only,clipped_float,quantized_8bit,2,-1.2833025907557638e-07,0.00025366182813257865,-7.526700884601112e-08
0804,drunet_denoise_only,quantized_8bit,jpeg_q75,3,4.445402919792769e-05,-0.0869947138739704,9.975010966045846e-06
0804,gradient_nominal,linear_float,clipped_float,1,-6.13901957524296e-09,1.4630768536250116e-05,-2.7060053141379076e-09
0804,gradient_nominal,clipped_float,quantized_8bit,2,6.278292213762488e-07,-0.001496013716810296,2.507501213351972e-07
0804,gradient_nominal,quantized_8bit,jpeg_q75,3,8.521510363283043e-05,-0.1984162535031011,1.9363886587244806e-05
0804,observed,linear_float,clipped_float,1,0.0,0.0,0.0
0804,observed,clipped_float,quantized_8bit,2,1.1776610536928973e-06,-0.0022939072366234825,9.498890387138297e-07
0804,observed,quantized_8bit,jpeg_q75,3,2.8398145426086763e-05,-0.054951601011470785,-1.6341890523152844e-05
