source_id,stage,pipeline,region,coverage,control,delta_rgb_mse,delta_detail_mse,delta_bad_detail_rate_0.025,delta_bad_detail_rate_0.05,delta_bad_detail_rate_0.1
0801,quantized_8bit,dpir_nominal,all,0.9,measurement_residual,-0.00016515975886941306,-6.335858571153194e-05,-0.04989154013015184,0.0,0.0
0801,quantized_8bit,dpir_nominal,all,0.9,image_gradient,-1.2761440467366541e-05,-7.508240324646668e-06,-0.005422993492407809,0.0,0.0
0801,quantized_8bit,dpir_nominal,all,0.9,random_expected,-0.00015455671672270216,-6.006167188220621e-05,-0.04872008880151844,0.0,0.0
0801,quantized_8bit,dpir_nominal,all,1.0,image_transform_spread_detail,0.0,0.0,0.0,0.0,0.0
0801,quantized_8bit,dpir_nominal,all,1.0,measurement_residual,-5.421010862427522e-20,0.0,0.0,0.0,0.0
0801,quantized_8bit,dpir_nominal,all,1.0,image_gradient,-5.421010862427522e-20,-2.710505431213761e-20,0.0,0.0,0.0
0801,quantized_8bit,dpir_nominal,all,1.0,random_expected,-5.421010862427522e-20,0.0,0.0,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,0.5,image_transform_spread_detail,-8.489188512953263e-05,-4.819376319660623e-05,-0.015625,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,0.5,measurement_residual,-0.0004714498591855638,-0.00017186942771035455,-0.1640625,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,0.5,image_gradient,-0.00011432163440664171,-6.214665252984714e-05,-0.0234375,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,0.5,random_expected,-0.000544198555424338,-0.0002143779897953219,-0.19140625,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,0.75,image_transform_spread_detail,-2.2987155318117338e-05,-1.3836737113967989e-05,-0.020833333333333336,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,0.75,measurement_residual,-0.0003297784127296316,-0.00012400950197086007,-0.14583333333333334,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,0.75,image_gradient,-5.6799039976413086e-05,-2.6309738084666866e-05,-0.03125000000000001,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,0.75,random_expected,-0.0003747769463909187,-0.00014064814460046344,-0.15755208333333334,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,0.9,image_transform_spread_detail,-3.6647275520831956e-05,-1.556476099788388e-05,-0.012987012987012991,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,0.9,measurement_residual,-0.00016606562938343032,-5.4248565440700406e-05,-0.05627705627705626,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,0.9,image_gradient,-4.963009183460941e-05,-1.7385137291071765e-05,-0.012987012987012991,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,0.9,random_expected,-0.00019610890673224524,-6.660293445568853e-05,-0.0650196158008658,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,1.0,image_transform_spread_detail,-2.168404344971009e-19,1.0842021724855044e-19,0.0,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,1.0,measurement_residual,0.0,0.0,0.0,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,1.0,image_gradient,-2.168404344971009e-19,0.0,0.0,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,1.0,random_expected,-2.168404344971009e-19,0.0,0.0,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,0.5,image_transform_spread_detail,-1.3705443646998036e-05,-8.382876410985087e-06,0.0,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,0.5,measurement_residual,-0.00026486200667153153,-0.00010330991000363718,-0.052734375,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,0.5,image_gradient,-4.2008480819318884e-05,-2.5578050119232615e-05,0.0,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,0.5,random_expected,-0.00027764865846143893,-0.00010479785547023333,-0.05078125,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,0.75,image_transform_spread_detail,-1.4054484730510584e-05,-8.399868931525256e-06,0.0,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,0.75,measurement_residual,-0.00022921775358076516,-8.784832102315827e-05,-0.055989583333333336,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,0.75,image_gradient,-2.7219843165761994e-05,-1.478471104398318e-05,-0.0026041666666666665,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,0.75,random_expected,-0.00022844779599994521,-8.57855216396349e-05,-0.05078125,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,0.9,image_transform_spread_detail,-1.6495003235185744e-05,-8.683683617047327e-06,-0.007592190889370933,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,0.9,measurement_residual,-0.00015435834805409615,-5.976377232233437e-05,-0.04989154013015184,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,0.9,image_gradient,-1.4013752516407209e-05,-7.496571447924866e-06,-0.005422993492407809,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,0.9,random_expected,-0.00015823506860386638,-6.0469068853549876e-05,-0.04969665130151844,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,1.0,image_transform_spread_detail,0.0,2.710505431213761e-20,0.0,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,1.0,measurement_residual,0.0,0.0,0.0,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,1.0,image_gradient,0.0,0.0,0.0,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,1.0,random_expected,5.421010862427522e-20,0.0,0.0,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,textured_quartile,0.5,image_transform_spread_detail,-0.00011733755596930013,-6.805873815873245e-05,-0.03125,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,textured_quartile,0.5,measurement_residual,-0.0005055859496646434,-0.00020855030372051337,-0.2109375,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,textured_quartile,0.5,image_gradient,-0.00011246527670639962,-6.108033085148646e-05,-0.0234375,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,textured_quartile,0.5,random_expected,-0.000548476582670434,-0.00021442842732447047,-0.1953125,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,textured_quartile,0.75,image_transform_spread_detail,-5.93553590874633e-05,-2.992865391115816e-05,-0.04687499999999999,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,textured_quartile,0.75,measurement_residual,-0.0003909867596563161,-0.0001538327486001612,-0.1875,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,textured_quartile,0.75,image_gradient,-5.930144736517647e-05,-2.7129448836424493e-05,-0.041666666666666664,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,textured_quartile,0.75,random_expected,-0.00038156854824229964,-0.0001424044541156953,-0.16666666666666666,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,textured_quartile,0.9,image_transform_spread_detail,-2.3815675080968287e-05,-1.2698484518709502e-05,-0.004329004329004321,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,textured_quartile,0.9,measurement_residual,-0.0001980290290963041,-7.258211882795222e-05,-0.06926406926406928,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,textured_quartile,0.9,image_gradient,-5.1276543414662825e-05,-2.012627298863699e-05,-0.012987012987012991,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,textured_quartile,0.9,random_expected,-0.00020049536431831637,-6.988606241968245e-05,-0.06459686147186147,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,textured_quartile,1.0,image_transform_spread_detail,2.168404344971009e-19,0.0,0.0,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,textured_quartile,1.0,measurement_residual,0.0,0.0,0.0,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,textured_quartile,1.0,image_gradient,2.168404344971009e-19,-5.421010862427522e-20,0.0,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,textured_quartile,1.0,random_expected,0.0,0.0,0.0,0.0,0.0
0802,jpeg_q75,dpir_nominal,all,0.5,image_transform_spread_detail,-3.1007439781265654e-05,-1.2476174143600806e-05,0.0,0.0,0.0
0802,jpeg_q75,dpir_nominal,all,0.5,measurement_residual,-8.044286014901691e-05,-3.8128813112830876e-05,-0.017578125,0.0,0.0
0802,jpeg_q75,dpir_nominal,all,0.5,image_gradient,-4.0734207462277074e-05,-2.1713855031774224e-05,-0.001953125,0.0,0.0
0802,jpeg_q75,dpir_nominal,all,0.5,random_expected,-0.00036129004549015836,-0.00016586141581387753,-0.0986328125,-0.00390625,0.0
0802,jpeg_q75,dpir_nominal,all,0.75,image_transform_spread_detail,-2.621462520307631e-05,-1.1714199661110036e-05,-0.005208333333333332,0.0,0.0
0802,jpeg_q75,dpir_nominal,all,0.75,measurement_residual,-4.5792381323127e-05,-2.5241462568684295e-05,-0.022135416666666664,0.0,0.0
