source_id,true_sigma,noise_std,scenario,variant,iteration,rho,denoiser_sigma,iterate_change_mse,measurement_residual_mse
0801,1.6,0.00784313725490196,blur_noise_jpeg,rotation_90,3,0.0023834437597543,0.07704620808362961,3.823111183010042e-05,7.425501098623499e-05
0801,1.6,0.00784313725490196,blur_noise_jpeg,rotation_90,4,0.005944420117884874,0.04878642410039902,2.038447928498499e-05,4.5303931983653456e-05
0801,1.6,0.00784313725490196,blur_noise_jpeg,rotation_90,5,0.014825660735368729,0.03089204803109169,1.273291763936868e-05,2.9445429390762e-05
0801,1.6,0.00784313725490196,blur_noise_jpeg,rotation_90,6,0.03697589039802551,0.019561151042580605,7.586991159769241e-06,2.0406821931828745e-05
0801,1.6,0.00784313725490196,blur_noise_jpeg,rotation_90,7,0.09221960604190826,0.012386314570903778,3.36304537995602e-06,1.5786714357091114e-05
0801,1.6,0.00784313725490196,blur_noise_jpeg,rotation_90,8,0.22999997437000275,0.007843137718737125,1.301176666856918e-06,1.3680211850441992e-05
0801,1.6,0.00784313725490196,blur_noise_jpeg,rotation_180,1,0.0003831736685242504,0.1921568661928177,0.0003893272078130394,0.00023208300990518183
0801,1.6,0.00784313725490196,blur_noise_jpeg,rotation_180,2,0.0009556531440466642,0.12167562544345856,8.56375991133973e-05,0.0001283435703953728
0801,1.6,0.00784313725490196,blur_noise_jpeg,rotation_180,3,0.0023834437597543,0.07704620808362961,3.7350218917708844e-05,7.46394507586956e-05
0801,1.6,0.00784313725490196,blur_noise_jpeg,rotation_180,4,0.005944420117884874,0.04878642410039902,2.0273044356144965e-05,4.5637098082806915e-05
0801,1.6,0.00784313725490196,blur_noise_jpeg,rotation_180,5,0.014825660735368729,0.03089204803109169,1.3212570593168493e-05,2.9372611606959254e-05
0801,1.6,0.00784313725490196,blur_noise_jpeg,rotation_180,6,0.03697589039802551,0.019561151042580605,7.4818885877903085e-06,2.0395362298586406e-05
0801,1.6,0.00784313725490196,blur_noise_jpeg,rotation_180,7,0.09221960604190826,0.012386314570903778,3.442331035330426e-06,1.5737148714833893e-05
0801,1.6,0.00784313725490196,blur_noise_jpeg,rotation_180,8,0.22999997437000275,0.007843137718737125,1.3002046443943982e-06,1.3629743989440612e-05
0802,1.6,0.00784313725490196,blur_noise,nominal,1,0.0003831736685242504,0.1921568661928177,0.00030835604411549866,0.00029601226560771465
0802,1.6,0.00784313725490196,blur_noise,nominal,2,0.0009556531440466642,0.12167562544345856,5.235820572124794e-05,0.00019827191135846078
0802,1.6,0.00784313725490196,blur_noise,nominal,3,0.0023834437597543,0.07704620808362961,3.824313171207905e-05,0.00013236567610874772
0802,1.6,0.00784313725490196,blur_noise,nominal,4,0.005944420117884874,0.04878642410039902,2.441903416183777e-05,9.306640276918188e-05
0802,1.6,0.00784313725490196,blur_noise,nominal,5,0.014825660735368729,0.03089204803109169,1.3601547834696248e-05,7.332189852604643e-05
0802,1.6,0.00784313725490196,blur_noise,nominal,6,0.03697589039802551,0.019561151042580605,6.604180725844344e-06,6.371470226440579e-05
0802,1.6,0.00784313725490196,blur_noise,nominal,7,0.09221960604190826,0.012386314570903778,3.152313183818478e-06,5.893634079257026e-05
