region,score,coverage,available_patches,retained_patches,rgb_mse,detail_mse,bad_detail_rate_0.025,bad_detail_rate_0.05,bad_detail_rate_0.1,source_id,true_sigma,noise_std,scenario
all,oracle_detail_error,0.9,1024,922,0.0002441691381843099,8.757875525024745e-05,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,oracle_detail_error,1.0,1024,1024,0.0005587138570715256,0.00030103505815495514,0.0908203125,0.0263671875,0.0009765625,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,operator_spread_detail,0.5,256,128,0.0006529283568561721,0.0002448093561177402,0.0390625,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,operator_spread_detail,0.75,256,192,0.0008332317556342652,0.00032271876159126466,0.109375,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,operator_spread_detail,0.9,256,231,0.0011747808487559035,0.0005498321056325163,0.2554112554112554,0.012987012987012988,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,operator_spread_detail,1.0,256,256,0.0017097216287333314,0.0009791968947335955,0.328125,0.1015625,0.00390625,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,image_transform_spread_detail,0.5,256,128,0.0006559201302196842,0.00024302994894188887,0.03125,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,image_transform_spread_detail,0.75,256,192,0.0008974563847688158,0.00036877810511660596,0.14583333333333334,0.005208333333333333,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,image_transform_spread_detail,0.9,256,231,0.0013273952329846252,0.0006933941640834316,0.26406926406926406,0.06060606060606061,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,image_transform_spread_detail,1.0,256,256,0.0017097216287333314,0.0009791968947335955,0.328125,0.1015625,0.00390625,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,operator_spread_rgb,0.5,256,128,0.00062414769347694,0.00024000212598435387,0.03125,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,operator_spread_rgb,0.75,256,192,0.0008299852545710437,0.00032361386971951526,0.109375,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,operator_spread_rgb,0.9,256,231,0.0011752341576364452,0.0005555545578581263,0.2554112554112554,0.017316017316017316,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,operator_spread_rgb,1.0,256,256,0.0017097216287333314,0.0009791968947335955,0.328125,0.1015625,0.00390625,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,measurement_residual,0.5,256,128,0.001494718310398257,0.000839381597598686,0.2890625,0.078125,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,measurement_residual,0.75,256,192,0.001557038432015482,0.0008688241105934349,0.3177083333333333,0.078125,0.005208333333333333,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,measurement_residual,0.9,256,231,0.0016466466337214008,0.0009334183029173812,0.3246753246753247,0.09523809523809523,0.004329004329004329,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,measurement_residual,1.0,256,256,0.0017097216287333317,0.0009791968947335955,0.328125,0.1015625,0.00390625,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,image_gradient,0.5,256,128,0.0007614274586790284,0.00035763892692639883,0.1015625,0.0078125,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,image_gradient,0.75,256,192,0.0009903587293298487,0.000498162318277786,0.17708333333333334,0.026041666666666668,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,image_gradient,0.9,256,231,0.001285897452403158,0.0006711164122940626,0.2554112554112554,0.05627705627705628,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,image_gradient,1.0,256,256,0.0017097216287333314,0.0009791968947335955,0.328125,0.1015625,0.00390625,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,random_expected,0.5,256,128,0.0017097216287333314,0.0009791968947335953,0.328125,0.1015625,0.00390625,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,random_expected,0.75,256,192,0.0017097216287333314,0.0009791968947335953,0.328125,0.1015625,0.00390625,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,random_expected,0.9,256,231,0.0017097216287333314,0.0009791968947335953,0.328125,0.1015625,0.00390625,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,random_expected,1.0,256,256,0.0017097216287333314,0.0009791968947335953,0.328125,0.1015625,0.00390625,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,oracle_detail_error,0.5,256,128,0.0005428346306379688,0.00016623235881647392,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,oracle_detail_error,0.75,256,192,0.0008183529513708714,0.00031404277200711286,0.10416666666666667,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,oracle_detail_error,0.9,256,231,0.0011645729799215812,0.0005409657765834794,0.2554112554112554,0.004329004329004329,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
textured_quartile,oracle_detail_error,1.0,256,256,0.0017097216287333317,0.0009791968947335955,0.328125,0.1015625,0.00390625,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,operator_spread_detail,0.5,1024,512,0.00015834723152226645,7.201323828987373e-05,0.0,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
all,operator_spread_detail,0.75,1024,768,0.00024295126755187617,0.00010745043927836453,0.0013020833333333333,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
all,operator_spread_detail,0.9,1024,922,0.0003470425973647045,0.0001525053126674882,0.01735357917570499,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
all,operator_spread_detail,1.0,1024,1024,0.00048326205583445255,0.00021422436506305753,0.068359375,0.0009765625,0.0,0802,1.6,0.00784313725490196,blur_noise
all,image_transform_spread_detail,0.5,1024,512,0.00016037516940454555,7.207678721559029e-05,0.0,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
all,image_transform_spread_detail,0.75,1024,768,0.00024806066651654723,0.00010953976690264456,0.0026041666666666665,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
all,image_transform_spread_detail,0.9,1024,922,0.00035904948268208843,0.0001587067606543377,0.024945770065075923,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
all,image_transform_spread_detail,1.0,1024,1024,0.0004832620558344525,0.00021422436506305753,0.068359375,0.0009765625,0.0,0802,1.6,0.00784313725490196,blur_noise
all,operator_spread_rgb,0.5,1024,512,0.00016174672978292506,7.526653899705677e-05,0.0,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
all,operator_spread_rgb,0.75,1024,768,0.000244443112086577,0.00011000373329929148,0.0013020833333333333,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
all,operator_spread_rgb,0.9,1024,922,0.0003527207255921126,0.00015697490921360655,0.021691973969631236,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
all,operator_spread_rgb,1.0,1024,1024,0.00048326205583445244,0.00021422436506305756,0.068359375,0.0009765625,0.0,0802,1.6,0.00784313725490196,blur_noise
all,measurement_residual,0.5,1024,512,0.0006105979392089568,0.0002708027535886692,0.103515625,0.001953125,0.0,0802,1.6,0.00784313725490196,blur_noise
all,measurement_residual,0.75,1024,768,0.0005397135184226357,0.0002394141508233413,0.078125,0.0013020833333333333,0.0,0802,1.6,0.00784313725490196,blur_noise
all,measurement_residual,0.9,1024,922,0.0005103879468994555,0.00022656262988977717,0.0737527114967462,0.0010845986984815619,0.0,0802,1.6,0.00784313725490196,blur_noise
all,measurement_residual,1.0,1024,1024,0.00048326205583445255,0.00021422436506305756,0.068359375,0.0009765625,0.0,0802,1.6,0.00784313725490196,blur_noise
