chain_id,method,sources,mean_mse,mse_bootstrap_ci_low,mse_bootstrap_ci_high,mean_psnr_db,psnr_db_bootstrap_ci_low,psnr_db_bootstrap_ci_high,mean_detail_mse,detail_mse_bootstrap_ci_low,detail_mse_bootstrap_ci_high,mean_bad_detail_rate_0.025,bad_detail_rate_0.025_bootstrap_ci_low,bad_detail_rate_0.025_bootstrap_ci_high,mean_bad_detail_rate_0.05,bad_detail_rate_0.05_bootstrap_ci_low,bad_detail_rate_0.05_bootstrap_ci_high,mean_bad_detail_rate_0.1,bad_detail_rate_0.1_bootstrap_ci_low,bad_detail_rate_0.1_bootstrap_ci_high
j75_b12_n2,gradient_nominal,40,8.321677979928124e-05,7.215772138936999e-05,9.593849199543468e-05,41.19786977706558,40.603150528994,41.75527343342446,1.9699202045404078e-05,1.662165607452426e-05,2.3211307850475945e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j75_b12_n2,observed,40,0.00011244413245567065,9.008167397129282e-05,0.00013848829596953377,40.33659734141521,39.482008258308305,41.123116382950556,2.3168417623366315e-05,1.9062250330031275e-05,2.7968830390608476e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j75_b16_n2,dpir_nominal,40,0.0002413466876498629,0.00018013630502387894,0.00031464313170840783,37.70868809808361,36.54689967428819,38.86726930939379,0.00012952713644371567,8.61393947391747e-05,0.00018108094653901426,0.041015625,0.0260736083984375,0.05822814941406249,0.0135498046875,0.00732421875,0.0210205078125,0.000537109375,9.765625e-05,0.001123046875
j75_b16_n2,fbcnn,40,0.00017311685344494472,0.00012829776340373832,0.00022592698057733547,39.19021353877055,37.997180535010095,40.328228209731606,1.6150109574092786e-05,1.1430245929280735e-05,2.1750928884519036e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j75_b16_n2,fbcnn_dpir_nominal,40,0.00010633132468434287,8.11352447339073e-05,0.0001362935599660048,41.05874986939967,39.9712070828798,42.10358148904285,1.2783605059686664e-05,9.221624990807145e-06,1.696628832413491e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j75_b16_n2,fbcnn_gradient_nominal,40,0.00011578337668841387,8.746123427947394e-05,0.00014900546551619855,40.73374142522474,39.63541268027468,41.78134640984348,1.3904047365462143e-05,1.006351907514721e-05,1.8425903837486094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j75_b16_n2,gradient_nominal,40,0.00014695722372073836,0.00011760062010466683,0.00018120798642082942,39.184029805228874,38.32223837347635,39.97421221717838,2.3595761416003974e-05,1.9082903521408293e-05,2.889879732016865e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j75_b16_n2,observed,40,0.00019571610015275384,0.00014990303445803495,0.0002489654670322961,38.285593963024226,37.27114124861597,39.240858252445804,2.6939504290040998e-05,2.1436518819767654e-05,3.348673930618164e-05,2.44140625e-05,0.0,7.32421875e-05,0.0,0.0,0.0,0.0,0.0,0.0
j75_b16_n5,dpir_nominal,40,0.0009697566274367326,0.0008711988467294074,0.0010922921030967051,30.36650771233526,29.92278693693773,30.762974727703476,0.00060543668214079,0.0005322634591024237,0.0006983978517503631,0.2525390625,0.2177001953125,0.29279907226562496,0.0332763671875,0.021826171875,0.048169555664062495,0.0015380859375,0.000927734375,0.002294921875
j75_b16_n5,fbcnn,40,0.0002066615181222289,0.000162166340188339,0.0002590727801955602,37.84591475541866,36.9325762112527,38.693887459562696,2.7143334145616545e-05,2.2574524531116354e-05,3.25681258399636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j75_b16_n5,fbcnn_dpir_nominal,40,0.00021795143642359,0.0001912498023544825,0.00024858791178254366,36.94302048394481,36.41046161984835,37.440162676069235,6.025816226325525e-05,5.4980329450367566e-05,6.630604519368636e-05,0.000244140625,4.8828125e-05,0.0005126953125,0.0,0.0,0.0,0.0,0.0,0.0
j75_b16_n5,fbcnn_gradient_nominal,40,0.00017829875730914708,0.00015022158784175802,0.00021141613686649052,38.008281381808665,37.34173444371911,38.609117348193145,3.27434520717557e-05,2.8970068871089003e-05,3.720043874944345e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j75_b16_n5,gradient_nominal,40,0.000279904385232265,0.00025166706932394997,0.000313018138912064,35.74401902245097,35.31169934965152,36.12393316650999,6.331361216602566e-05,5.905337296126329e-05,6.82726168726247e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j75_b16_n5,observed,40,0.00027732009232596746,0.00023236293801275163,0.00032941518488039013,36.1088953593047,35.43568152339865,36.710916753084135,5.8893968555064114e-05,5.36002354435057e-05,6.512826812384751e-05,7.32421875e-05,0.0,0.0001953125,0.0,0.0,0.0,0.0,0.0,0.0
j75_b20_n2,dpir_nominal,40,0.0003145098629472045,0.00023878527197315814,0.0004044811334732553,36.47743752703417,35.320316907568966,37.61885015174056,0.00010117609226048028,6.951443605851086e-05,0.00013813619900313458,0.0317626953125,0.0200921630859375,0.0450439453125,0.009326171875,0.004906616210937501,0.014575805664062491,0.0001220703125,0.0,0.00029296875
